,n,power
0,80000,0.138
1,120000,0.2
2,160000,0.22
3,200000,0.29
4,240000,0.332
5,280000,0.41200000000000003
6,320000,0.484
7,360000,0.54
8,400000,0.644
9,440000,0.65
10,480000,0.708
11,520000,0.774
12,560000,0.78
13,600000,0.834
14,640000,0.858
15,680000,0.892
16,720000,0.92
17,760000,0.9400000000000001
18,800000,0.9560000000000001
