,param,power_conti,power_disc
0,10,0.08600000000000001,0.07200000000000001
1,20,0.112,0.11
2,30,0.13,0.124
3,40,0.20400000000000001,0.194
4,50,0.164,0.246
5,60,0.256,0.248
6,70,0.28600000000000003,0.316
7,80,0.374,0.34800000000000003
8,90,0.404,0.406
9,100,0.40800000000000003,0.47800000000000004
10,110,0.47200000000000003,0.518
11,120,0.508,0.5700000000000001
12,130,0.558,0.602
13,140,0.616,0.648
14,150,0.616,0.654
15,160,0.616,0.684
16,170,0.686,0.75
17,180,0.712,0.756
18,190,0.74,0.8
19,200,0.776,0.796
20,210,0.784,0.8260000000000001
21,220,0.8200000000000001,0.856
22,230,0.864,0.86
23,240,0.868,0.886
24,250,0.87,0.904
25,260,0.896,0.918
26,270,0.906,0.92
27,280,0.932,0.9560000000000001
28,290,0.932,0.9480000000000001
29,300,0.9460000000000001,0.9400000000000001
