,param,power_conti,power_disc
0,10,0.081,0.079
1,20,0.123,0.14
2,30,0.192,0.203
3,40,0.265,0.268
4,50,0.306,0.338
5,60,0.387,0.425
6,70,0.439,0.47700000000000004
7,80,0.497,0.5680000000000001
8,90,0.5660000000000001,0.622
9,100,0.607,0.685
10,110,0.675,0.737
11,120,0.72,0.79
12,130,0.764,0.811
13,140,0.804,0.84
14,150,0.839,0.877
15,160,0.857,0.889
16,170,0.888,0.909
17,180,0.911,0.932
18,190,0.925,0.9480000000000001
19,200,0.935,0.963
