,param,power_conti,power_disc
0,10,0.058,0.054
1,20,0.092,0.1
2,30,0.134,0.136
3,40,0.17,0.164
4,50,0.192,0.196
5,60,0.196,0.246
6,70,0.23600000000000002,0.276
7,80,0.28200000000000003,0.334
8,90,0.328,0.35000000000000003
9,100,0.364,0.422
10,110,0.39,0.45
11,120,0.426,0.464
12,130,0.47400000000000003,0.524
13,140,0.498,0.544
14,150,0.516,0.5660000000000001
15,160,0.56,0.606
16,170,0.608,0.638
17,180,0.64,0.674
18,190,0.646,0.686
19,200,0.6960000000000001,0.716
20,210,0.7000000000000001,0.772
21,220,0.728,0.784
22,230,0.746,0.81
23,240,0.77,0.8160000000000001
24,250,0.8160000000000001,0.842
25,260,0.8260000000000001,0.866
26,270,0.834,0.868
27,280,0.846,0.888
28,290,0.862,0.882
29,300,0.872,0.906
30,310,0.894,0.928
31,320,0.904,0.932
32,330,0.908,0.9400000000000001
33,340,0.924,0.9420000000000001
34,350,0.916,0.9500000000000001
35,360,0.93,0.962
36,370,0.936,0.964
37,380,0.9440000000000001,0.97
38,390,0.9520000000000001,0.97
39,400,0.9500000000000001,0.968
