,param,power_conti,power_disc
0,10,0.056,0.046
1,20,0.09,0.088
2,30,0.108,0.092
3,40,0.112,0.10400000000000001
4,50,0.13,0.14400000000000002
5,60,0.122,0.156
6,70,0.154,0.18
7,80,0.178,0.222
8,90,0.214,0.234
9,100,0.246,0.252
10,110,0.244,0.274
11,120,0.28,0.304
12,130,0.302,0.334
13,140,0.3,0.326
14,150,0.354,0.326
15,160,0.376,0.368
16,170,0.396,0.372
17,180,0.41600000000000004,0.43
18,190,0.422,0.428
19,200,0.454,0.458
20,210,0.494,0.492
21,220,0.502,0.518
22,230,0.51,0.53
23,240,0.532,0.546
24,250,0.56,0.5740000000000001
25,260,0.5680000000000001,0.598
26,270,0.596,0.614
27,280,0.612,0.634
28,290,0.62,0.656
29,300,0.648,0.672
30,310,0.672,0.6960000000000001
31,320,0.68,0.718
32,330,0.7020000000000001,0.724
33,340,0.714,0.716
34,350,0.73,0.76
35,360,0.754,0.778
36,370,0.756,0.78
37,380,0.772,0.782
38,390,0.802,0.8
39,400,0.8200000000000001,0.81
40,410,0.8220000000000001,0.834
41,420,0.8160000000000001,0.84
42,430,0.846,0.866
43,440,0.852,0.88
44,450,0.856,0.88
45,460,0.866,0.886
46,470,0.866,0.898
47,480,0.86,0.904
48,490,0.874,0.898
49,500,0.892,0.9
