,param,power_conti,power_disc
0,10,0.092,0.07200000000000001
1,20,0.124,0.132
2,30,0.14,0.148
3,40,0.26,0.23
4,50,0.182,0.292
5,60,0.32,0.312
6,70,0.358,0.38
7,80,0.446,0.452
8,90,0.498,0.496
9,100,0.51,0.58
10,110,0.5760000000000001,0.61
11,120,0.606,0.684
12,130,0.68,0.716
13,140,0.6960000000000001,0.738
14,150,0.738,0.768
15,160,0.73,0.792
16,170,0.796,0.848
17,180,0.8140000000000001,0.856
18,190,0.85,0.904
19,200,0.872,0.882
20,210,0.892,0.926
21,220,0.902,0.9400000000000001
22,230,0.926,0.9400000000000001
23,240,0.934,0.962
24,250,0.9440000000000001,0.968
25,260,0.9500000000000001,0.964
26,270,0.96,0.978
27,280,0.978,0.994
28,290,0.97,0.986
29,300,0.986,0.982
