,param,power_conti,power_disc
0,10,0.064,0.076
1,20,0.10200000000000001,0.13
2,30,0.17,0.182
3,40,0.246,0.248
4,50,0.28600000000000003,0.33
5,60,0.34600000000000003,0.406
6,70,0.402,0.462
7,80,0.436,0.536
8,90,0.512,0.604
9,100,0.556,0.656
10,110,0.618,0.708
11,120,0.666,0.738
12,130,0.71,0.778
13,140,0.748,0.792
14,150,0.78,0.8220000000000001
15,160,0.8260000000000001,0.848
16,170,0.846,0.882
17,180,0.872,0.922
18,190,0.9,0.922
19,200,0.898,0.9420000000000001
