,param,power_conti,power_disc
0,10,0.062,0.068
1,20,0.094,0.088
2,30,0.122,0.116
3,40,0.132,0.126
4,50,0.158,0.17400000000000002
5,60,0.166,0.20400000000000001
6,70,0.2,0.216
7,80,0.226,0.274
8,90,0.278,0.28400000000000003
9,100,0.306,0.31
10,110,0.328,0.354
11,120,0.354,0.378
12,130,0.384,0.432
13,140,0.402,0.442
14,150,0.422,0.438
15,160,0.466,0.47200000000000003
16,170,0.51,0.502
17,180,0.532,0.524
18,190,0.544,0.5680000000000001
19,200,0.5740000000000001,0.596
20,210,0.604,0.626
21,220,0.626,0.658
22,230,0.65,0.68
23,240,0.684,0.742
24,250,0.71,0.744
25,260,0.718,0.75
26,270,0.738,0.772
27,280,0.754,0.784
28,290,0.766,0.8180000000000001
29,300,0.782,0.8200000000000001
30,310,0.812,0.842
31,320,0.8,0.84
32,330,0.844,0.854
33,340,0.848,0.854
34,350,0.864,0.874
35,360,0.872,0.89
36,370,0.882,0.906
37,380,0.9,0.91
38,390,0.892,0.932
39,400,0.906,0.9420000000000001
40,410,0.916,0.9380000000000001
41,420,0.916,0.9560000000000001
42,430,0.926,0.9560000000000001
43,440,0.9380000000000001,0.9580000000000001
44,450,0.93,0.962
45,460,0.9400000000000001,0.96
46,470,0.9520000000000001,0.96
47,480,0.962,0.97
48,490,0.962,0.968
49,500,0.9560000000000001,0.978
