,param,power_conti,power_disc
0,10,0.064,0.066
1,20,0.10400000000000001,0.116
2,30,0.148,0.152
3,40,0.212,0.20600000000000002
4,50,0.252,0.268
5,60,0.274,0.328
6,70,0.308,0.358
7,80,0.358,0.46
8,90,0.41200000000000003,0.466
9,100,0.454,0.554
10,110,0.516,0.588
11,120,0.542,0.604
12,130,0.598,0.66
13,140,0.622,0.672
14,150,0.68,0.716
15,160,0.716,0.75
16,170,0.752,0.78
17,180,0.768,0.808
18,190,0.804,0.84
19,200,0.8260000000000001,0.862
20,210,0.8260000000000001,0.896
21,220,0.85,0.89
22,230,0.868,0.898
23,240,0.88,0.928
24,250,0.894,0.93
25,260,0.922,0.9480000000000001
26,270,0.92,0.9580000000000001
27,280,0.9460000000000001,0.964
28,290,0.9460000000000001,0.974
29,300,0.9560000000000001,0.97
